feature_name,description,formula,notes
price_lag_1,Price lagged by 1 day,price.shift(1),Useful for short memory
price_lag_2,Price lagged by 2 days,price.shift(2),
price_lag_3,Price lagged by 3 days,price.shift(3),
price_lag_5,Price lagged by 5 days,price.shift(5),
price_lag_7,Price lagged by 7 days,price.shift(7),
returns,Percent returns computed as price.pct_change()*100,price.pct_change()*100,Expressed in percent
returns_lag_1,One-day lag of returns,returns.shift(1),
price_ma_7,7-day moving average of price,price.rolling(7).mean(),Smoothing short-term noise
price_vol_7,7-day rolling standard deviation of price (volatility),price.rolling(7).std(),A simple volatility estimator
price_mom_7,Price momentum: price - 7-day moving average,price - price.rolling(7).mean(),Measures momentum vs recent average